dwc:institutionCode,idigbio:uuid,dwc:catalogNumber,dwc:specificEpithet,dwc:genus
FLMNH,19701098-7e86-40e2-8e0d-79d847653630,6075-Echinodermata,dofleini,Holothuria
FLMNH,194fa8a6-a91c-4a7c-ab6d-87195e26a268,1326-Echinodermata,dofleini,Holothuria
FLMNH,c9049c41-60a8-498e-adf3-0f56b354fbf3,4801-Echinodermata,dofleini,Holothuria
FLMNH,37f80585-6311-470b-b5ac-372213690382,6269-Echinodermata,dofleini,Holothuria
FLMNH,589d3c61-6f75-4d07-bff8-fff2238d4e04,6132-Echinodermata,dofleini,Holothuria
FLMNH,c0b94d53-0a12-4823-bf2e-67f4e4b55d6e,6069-Echinodermata,dofleini,Holothuria
FLMNH,f6d6112e-ba3e-4b63-b54b-c6a001023083,6120-Echinodermata,dofleini,Holothuria
FLMNH,61379bbf-7f44-4a2c-a9ce-edf884a2e863,16110-Echinodermata,,Holothuria
FLMNH,5a3e5f1f-327c-475d-99f4-7d745f8e1579,1586-Echinodermata,,Holothuria
FLMNH,61347dca-ecb3-465a-a61e-cc5216c726e5,15471-Echinodermata,,Holothuria
FLMNH,3528116c-c33d-41b1-a6e3-54b300890f1d,3629-Echinodermata,,Holothuria
FLMNH,3792e27b-d355-4fa6-825d-fc3330829631,7912-Echinodermata,,Holothuria
FLMNH,929553c1-2544-4920-9ae2-9ae16ac60ac3,979-Echinodermata,,Holothuria
FLMNH,ba6d4469-c430-4815-b02e-05d4027cf22a,455-Echinodermata,,Holothuria
MCZ,21402bea-2755-4398-a3ec-11cf0e00487b,HOL-918,,Holothuria
FLMNH,c4211c26-a275-4ac5-9d8d-028ef173852d,3626-Echinodermata,,Holothuria
FLMNH,5a15e1fb-e020-4d39-8606-2d0ee4513c83,985-Echinodermata,,Holothuria
FLMNH,a442e178-6aea-40ed-9d87-f3089911016d,10340-Echinodermata,,Holothuria
FLMNH,51be8ad3-66e8-40dc-ad5d-0062d64509dc,15468-Echinodermata,,Holothuria
FLMNH,b851ab72-7b7a-44b3-bba9-3a35f526ec1d,12286-Echinodermata,,Holothuria
FLMNH,c111e3c9-9008-4d18-9c10-3c944c40f4d1,7862-Echinodermata,,Holothuria
CAS,f87a3d2a-d400-4bfe-a23f-c225df1039ca,140662,,Holothuria
FLMNH,946842bc-7034-45bc-8b91-e4afc5e7b2ec,15749-Echinodermata,,Holothuria
CAS,811a27a4-abbf-4e05-bff0-55eb267f6a45,199668,,Holothuria
MCZ,9c2c4072-1ab6-4ec8-afd4-1caefd7f87a4,HOL-871,,Holothuria
FLMNH,338d3634-ef73-4e86-a563-85de5e6e7035,11846-Echinodermata,,Holothuria
FLMNH,c42241ca-13f8-4fc3-ba31-9155231a402e,2745-Echinodermata,,Holothuria
FLMNH,0b6da940-9411-4d4a-bf4f-5de2870677d0,14613-Echinodermata,,Holothuria
FLMNH,86f2925c-16c0-4b88-ada2-4bcad6e61798,13339-Echinodermata,,Holothuria
FLMNH,c70d924c-2f3b-4400-9971-e7d4457e8b85,15187-Echinodermata,,Holothuria
FLMNH,3a0a3ce9-6864-40db-8a08-48410705e201,13646-Echinodermata,,Holothuria
FLMNH,77f9cfb1-ecb2-4777-afab-3323fd328849,11232-Echinodermata,,Holothuria
FLMNH,09be5616-38c9-4e3a-b3d2-9639ba0e201b,6667-Echinodermata,,Holothuria
FLMNH,eb10a305-c5df-4727-8c29-9636cfd02967,7156-Echinodermata,,Holothuria
FLMNH,567aff71-c3bf-4928-9e1f-32aef16c499d,11083-Echinodermata,,Holothuria
FLMNH,5a264aad-f6b3-4aa9-877e-f61ea969a44e,1878-Echinodermata,,Holothuria
FLMNH,9e0d4d6a-1a8b-4680-8a51-866b8b92b6c0,4141-Echinodermata,,Holothuria
FLMNH,ced7c4d7-fe06-48c1-a818-aabf93607fd1,6248-Echinodermata,,Holothuria
FLMNH,f0e68cc5-e6c2-416c-8a63-5596cc051e84,1707-Echinodermata,,Holothuria
FLMNH,0b3ab0f6-a4b7-4b6b-9731-b6fb73169fdb,16114-Echinodermata,,Holothuria
