dwc:county,dwc:country,dwc:family,dwc:day,dwc:recordedBy,dwc:order,dwc:institutionCode,dwc:class,dwc:phylum,idigbio:uuid,dwc:scientificNameAuthorship,dwc:occurrenceID,dwc:subgenus,dwc:decimalLatitude,dwc:higherClassification,dwc:catalogNumber,dwc:decimalLongitude,dwc:datasetName,dwc:month,dwc:specificEpithet,dwc:stateProvince,dwc:collectionCode,dwc:genus,dwc:continent,idigbio:dateModified,dwc:scientificName,dwc:year
,Belize,Holothuriidae,24,J. Pahalas,Aspidochirotida,FLMNH,Holothuroidea,,80ac37c0-b98a-4106-8008-d9a8649eef2b,Ludwig,1E37E1F2-28DA-4A8D-96B0-0E3ABD26E8F1,,,,4877-Echinodermata,,,5,mexicana,,Invertebrate Zoology,Holothuria,,2014-10-16T19:17:03.991Z,Holothuria mexicana,2006
French Frigate Shoals,USA,Holothuriidae,12,"Gustav Paulay, Sea McKeon, Brian Zgliczynski, Rusty Brainard, Jim Maragos & John Starmer",Aspidochirotida,FLMNH,Holothuroidea,,19701098-7e86-40e2-8e0d-79d847653630,Augustin,7F2BE3C7-5555-4DDB-A133-BB8E70739508,,23.8632,,6075-Echinodermata,-166.1842,,10,dofleini,Hawaiian Islands,Invertebrate Zoology,Holothuria,,2014-10-16T21:39:06.569Z,Holothuria dofleini,2006
Rimatara Island,French Polynesia,Holothuriidae,8,"Paulay, G.",Aspidochirotida,FLMNH,Holothuroidea,,c4b9f287-345a-4d9e-b97a-80d63a3522b6,Lesson,8701BF6C-C337-4B45-BC51-736CD4D6E878,,,,928-Echinodermata,,,2,hilla,Austral Islands,Invertebrate Zoology,Holothuria,,2014-10-16T21:15:14.362Z,Holothuria hilla,1983
Guam Island,USA,Holothuriidae,,,Aspidochirotida,FLMNH,Holothuroidea,,3be9e5f7-8519-4b66-88b1-1ba838aa3c9e,Lesson,8705A2E4-E6E0-48FD-B713-F497C1784E28,,13.5,,10718-Echinodermata,144.8,,,edulis,Mariana Islands,Invertebrate Zoology,Holothuria,,2014-10-16T21:34:00.830Z,Holothuria edulis,
,Australia,Holothuriidae,16,,Aspidochirotida,FLMNH,Holothuroidea,,938d5a76-8d31-4a2c-9137-fe2c4d80c88a,Semper,D2832012-66C6-4C65-8404-1F19280199B7,,-23.4417666667,,10126-Echinodermata,151.9004333333,,11,gracilis,Queensland,Invertebrate Zoology,Holothuria,,2014-10-16T23:53:42.684Z,Holothuria gracilis,2009
,Seychelles,Holothuriidae,,Hal Koike,Aspidochirotida,FLMNH,Holothuroidea,,47a6d8a3-b557-4603-bf84-454e3cce7f97,Jäger,9F0BD691-DE71-41D2-A408-53DF14C1F455,,-4.558319068,,11335-Echinodermata,55.363808,,,atra,,Invertebrate Zoology,Holothuria,,2014-10-16T20:01:34.005Z,Holothuria atra,
Maui Island,USA,Holothuriidae,28,"Pittman, C.",Aspidochirotida,FLMNH,Holothuroidea,,b3e69223-e7eb-4eb0-8220-cdf9bf5ec0ac,Selenka,71C48515-1D03-4680-A99C-7196E127D8BD,,20.91889,,4364-Echinodermata,-156.66444,,4,pardalis,Hawaiian Islands,Invertebrate Zoology,Holothuria,,2014-10-16T17:13:38.228Z,Holothuria pardalis,2005
,USA,Holothuriidae,17,"Mandy Bemis, Jenna Moore",Aspidochirotida,FLMNH,Holothuroidea,,923e278b-d02c-465f-9819-a6aa995f51ee,Selenka,B511CC53-CD3F-4FAB-8850-33CC1E7AB202,,30.27871,,10891-Echinodermata,-81.29137,,9,princeps,Florida,Invertebrate Zoology,Holothuria,,2014-10-16T18:32:29.650Z,Holothuria princeps,2010
,Mexico,Holothuriidae,,,Aspidochirotida,FLMNH,Holothuroidea,,76aa9609-44bd-4042-8041-02133df0906e,Deichmann,EEAFD6FB-9C67-429B-BB77-2F2D7ACC9D2C,,19.2,,3517-Echinodermata,-104.683333,,,zacae,Jalisco,Invertebrate Zoology,Holothuria,,2014-10-16T19:25:31.118Z,Holothuria zacae,1967
Moorea Island,French Polynesia,Holothuriidae,6,"Christian McKeon, Chris Meyer, Gustav Paulay",Aspidochirotida,FLMNH,Holothuroidea,,45a6d4df-f11e-4459-88e3-d1d1b1bd4eb8,Forskaal,897BC6F1-C2D6-44B5-9E7D-934351063600,,-17.4836,,5315-Echinodermata,-149.765,,8,impatiens,Society Islands,Invertebrate Zoology,Holothuria,,2014-10-16T20:21:03.046Z,Holothuria impatiens,2006
